What comes under JIRA Schema, Workflows# Issue types# Custom fields# Screens# Field configurations# Notifications# Permissions
How is security setting helpful in JIRA? Security setting for any issue is defined or say set either at the time of creation of the issue or while editing the issue.,
A short note on JIRA reports, JIRA withholds a classified list of reports to depict the project statistics to the user.
What is Jira Core and its uses and who are Jira core project administrators, It is an efficient workflow management system which allows formulating unique process. this utility allows to both increase and decreases the complexity of the workflows. this allows implying more importance on the process involved.
Can an Issue be assigned to two different people# Explain Cloning issue# then what are linked issues, JIRA does not support assignation of the same issue under two different people at the same instance of time. this maintains the stability that one multiple developer can never be tagged to the same issue ever. But at several instances based on the intensity and volume of work the issue or bug may generate there could be a possibility of tagging more than one resources to the same issue.
Adding Gadgets to JIRA dashboard, Several gadgets can be added to JIRA personal dashboards. The JIRA admin is responsible for adding a gadget to a default dashboard of a JIRA application.
What languages and platforms does your static scanner support?,"Veracode allows you to scan Java, JSP, .NET- C#, .NET - VB.NET, ASP.NET, .NET - C+/CLI, C/C+, PHP, ColdFusion, iOS, Android, J2ME, Ruby, Classic ASP, VBScript, VB6, Flash (using Dynamic), COBOL, and JavaScript for mobile and web applications! Our list of supported platforms and languages is always growing"
What email notifications will I get from Veracode?,"Veracode keeps customers up to date with scan and overall service status via email. Veracode users will receive emails when: Password is changed, Pre-scan verification is complete, Scan is submitted, and Scan has completed."
What is pre-scan verification?,"The Veracode platform performs a preliminary analysis, or Pre-Scan, of your binaries to validate that they can be analyzed and to give you an opportunity to fix problems with the uploaded files before submitting your scan request. The results of the Pre-Scan verification are given as messages in the module table; summary information appears as you select modules to be scanned."
I received an email saying there was an issue scanning my application. What should I do?, Veracode will send a scan failure email if issues are encountered scanning your application. Our engineering team will work with you to resolve any issues like this and ensure scan success.
What is the difference between a Flaw and a Vulnerability?," Veracode scan highlights flaws discovered in a submitted binary. It is important to understand that not all flaws will be exploitable vulnerabilities. A flaw is a potential vulnerability. A flaw is a pattern that is flagged in the analyzed binary that is indicative of a vulnerability. A vulnerability is a hole within the security of a system caused by software flaws, incorrect configurations and/or insecure user behavior. "
What flaw categories do you look for?,"Input Validation, Memory Corruption, Numeric Errors, Cryptographic Issues"
Why do I upload my binaries to Veracode? Do you also need my source code?,Veracode s automated static binary analysis reviews the final integrated application without requiring organizations to expose their intellectual property in the form of source code.
Why should I use Veracode instead of a desktop source code analyzer?,"Veracode is out to change the world of software by solving this application security challenge in a fundamentally different and better way. Our cloud-based application risk management services platform offers the industry s most complete, accurate and easy to use application security testing, developer training and application intelligence services."
Why do I need to package my java app as a war file?,"Veracode expects Java web applications to be submitted in a standard WAR format. This is so that, regardless of the application server technology being used, Veracode can correctly analyze the data and control flow of the application and understand the application boundaries. Veracode understands standard J2EE application packages, including JAR, WAR, and EAR."
How long will it take to get my results?,"Veracode performs a fully automated scan on uploaded applications, including constructing a model of the data and control flow and identifying any flaws. The turnaround time depends on the size and complexity of the application, but on average Veracode analyzes 75% of all uploaded Java applications in six hours or less."
I only see the source file and line number where the issue exists. How can I tell where the attack is coming from?,"Each cross-site scripting flaw in the Veracode service carries two types of information: the location at which the flaw is exposed to the end user, and the data or control flow through which a tainted attack string travels to reach the vulnerable part of the code. You can view this control flow in the Call Stack view"
"I like the Veracode web interface, but I do all my work in my IDE. Can you show me the results there? I also would like to upload my application directly as part of my build script rather than visiting the Veracode UI.","Veracode provides APIs for uploading applications and viewing results, and includes reference integrations to several bugtracking systems and integrated development environments, including Eclipse and Visual Studio."
Does the Veracode Eclipse Plugin work with other Eclipse-derived IDEs?,"The Veracode Eclipse Plugin may run on Eclipse-derived IDEs like Spring Suite, but Veracode does not provide support for these IDEs."
How do I check prescan results in the API?,"Prescans usually complete very quickly and you receive email notifications when they complete. If you want to check for prescan results using the Upload API, use the getprescanresults.do call."
"How do I run an API scan if there are ""unsupported frameworks"" warnings in my prescan results?","If you want to ensure the scan completes even though there are non-fatal errors such as unsupported frameworks, ensure you use the scan_all_top_level_modules parameter when you use the beginscan.do call. Alternately, you can use scan_selected_modules, scan_previously_selected_modules, or modules with a list of module IDs, returned by the prescan."
How do I use the API to query tags in the Results API?,"If you want to query tags in applications, you can add unique tags as metadata when creating your applications. You can then query your applications based on any of the metadata. Use createapp.do to create an application with metadata. Use the following calls of the Results API to get the scan results of applications: getapplist.do to get the full list of your applications and then getappinfo.do to get information for a specific application, including any metadata, if applicable. To get a detailed report for any application, call detailedreport.do, which returns the results in an XML document."
Why does Veracode use passwords for API integrations? I thought passwords were inherently insecure.,"Veracode recommends that you change to using the Veracode API ID and key with HMAC signing, where possible, because this method provides maximum protection against man-in-the-middle and session replay attacks. User credential authentication using username and password is only supported on the Veracode XML APIs, which are the legacy APIs, while the REST APIs are the newer APIs that Veracode offers."
"Why does my run history show updated records when I did not update any records, but only created records?","New field values created in a destination endpoint during synchronization are automatically sent back the record in the source endpoint.

So, for example, when you create a record in ALM and synchronize it to ALM Octane, that new record is created in ALM Octane, and assigned an ALM Octane ID.

ALM Octane Synchronizer recognizes this new ID field value, and sends it back to ALM, adding it to the source record.

This last step is the update you see in your run history."
I modified my link to fix errors that occurred in previous synchronizations. Why do I see these same errors occurring again?,"If your link is in automatic mode, and a synchronization ran with errors, the records with errors are not necessarily fixed in subsequent runs.

This may happen if the errors occurred because of changes outside of the link configuration, such as if the schema changed, but the field mapping was not updated. If you fix the cause of the error (such as refreshing the Field Mapping tab and map the new fields), ALM Octane Synchronizer will re-synchronize those records if changes in the actual record are detected.

ALM Octane Synchronizer also periodically re-synchronizes all records, including those that had run with errors, but have had no subsequent changes.

To ensure that records that ran with errors are re-synchronized in the next upcoming run, manually set the link to re-synchronize those records.

For details, see Re-synchronizing records with fixed errors (automatic mode only)."
Why is the Search Links box in the link tree disabled?,You cannot search in the link tree when a link is in edit mode. Save any changes or click Cancel Edit to enable the search box.
"Why can’t I access Synchronizer? I keep getting to a login page.
","In certain cases you may try to open Synchronizer and a login page appears but you cannot log in. In this case you need to modify your authentication cookies setting, as described in Install the Synchronizer."
Why can't I edit mapped requirement types in my synchronization link?,"After a link is synchronized, you can no longer remove mapped requirement types. You can still add types that are not yet mapped."
"Synchronization failed due to unmapped users. What should I do?
","When synchronization fails because of unmapped users, check if the missing users exist. If they do not, you can create them in ALM Octane (either as active users, or inactive). When you run synchronization again, the ALM users that were missing will be mapped to the newly-created users in ALM Octane. For details on adding or activating users in ALM Octane, see Assign roles and permissions and Assign roles and permissions.
"
During synchronization I received an error: “Some of the mapped fields were deleted from ALM Octane.”,"This error indicates that user defined fields were removed from ALM Octane, which were mapped in a synchronization link. The list of missing fields is displayed in the UI.

Edit the relevant link within the Synchronizer UI, and click Refresh fields and field values in the Field mapping tab. All the removed fields will be removed from field mapping. Run an integrity check to verify that records will be synchronized correctly."
During synchronization I received an error: “Some of the fields used in the filter were deleted from ALM Octane.”,"This error indicates that you removed user defined fields from ALM Octane, which were used in a Synchronizer filter within a particular synchronization link.

Either edit the existing filter, or create a new filter without the user defined fields that no longer exist. If you create a new filter, within the Synchronizer UI edit the appropriate link and change the Synchronizer filter in the General tab. Run an integrity check to verify that records will be synchronized correctly."
Why is ALM Octane Synchronizer failing to find a custom field that was OK in the past?,"Check the list of custom fields defined in ALM Octane: 

In Settings , clickand select a shared space or a workspace.
In Entities, click User-defined Fields and select the entity whose fields you want to check.
Make sure that the field in question still defined for the workspace you are synchronizing."
Why is the synchronization adding attachments named attachment.url to the ALM Octane entities?,"This may happen if an ALM entity has an attachment whose name contains special characters (~!@#$%()^&).

Workaround: On ALM Octane, remove the added attachment. On ALM, rename the attachment so that it does not contain special characters."
Why am I not receiving emails after configuring Issue notifications?,"If you configured Issue notifications but you are not receiving emails as expected, define values for FROM_EMAIL_ADDRESS & MAIL_SERVER_HOST in the sync_sa schema."
What does my basic subscription include?,"You will be able to track your daily victories and setbacks, lifestyle contributors on a weekly level, and your overall well being on a monthly basis (depression, anxiety, connectedness, etc.) - each of which provide some basic summary stats. You can also access a portion of the training (Week 1) - and progress in the gamified levels. Along with being able to participate in a “daily discussion,” you can access SOS anytime (for immediate support), and a place to journal thoughts and create your own Freedom Plan (aiming for longer-term progress). In addition to being able to participate in monthly “Fortify chats,” you’ll be able to explore our professional directory as well."
How long does Fortify take?,"There is no set amount of time to move through Fortify. The training can be explored in whatever time frame feels comfortable. We provide a 12-week pathway as one option. We encourage people to take whatever time they need - and not to rush or go too fast. Participation in the Daily Tracker, webinars, forums, groups and in personalized coaching are open-ended – and can go as long as someone needs."
"How can I know if Fortify is right for me?
","Try it out for yourself! One of the purposes of the free basic access is to give people a chance to experience Fortify directly for themselves and see if it feels like a good fit. We respect that there are many other kinds of supports that may also be very helpful. In fact, we mention many of them within Fortify to encourage people to look around for anything that can be personally impactful. We definitely want you to go with what is right for you!"
"How do I get in touch with the Fortify team?
","Send us a note! We’re reachable at info@joinfortify.com. After logging in, you can also find us in the bottom left corner anytime you need. We look forward to hearing from you."
How does Fortify ensure that my subscription is anonymous?,"Fortify does not, nor would not, share any user information – with industry standard data security protections in place. At sign-up, all we need connected to you personally is a working email address. You can use a pseudonym if you prefer. The username you create upon signing up also doesn’t have to identify you in any way and will be the only way the community will see you. If you sign-up for a Fortify group or coach, they will only know you by your custom username as well. Lastly, your bank statements will show charges from Impact Collective, LLC not Fortify."
How do I speed up management inside EC2?,Don’t try to manage a fleet of EC2 machines from your laptop. Connect to a management node inside EC2 first and run Ansible from there.
"Can I get training on Ansible or find commercial support?
","Yes! See our Guru offering for online support, and support is also included with Ansible Tower. You can also read our service page and email info@ansible.com for further details."
"Is there a web interface / REST API / etc?

","Yes! Ansible, Inc makes a great product that makes Ansible even more powerful and easy to use. See Ansible Tower."
"How do I submit a change to the documentation?
","Great question! Documentation for Ansible is kept in the main project git repository, and complete instructions for contributing can be found in the docs README viewable on GitHub. Thanks!"
What kind of environment do I need to run UrbanCode Velocity?,High availability UrbanCode Velocity installs are built in through the use of a container platform. It runs on any Kubernetes cluster in a local data center or public cloud. We recommend a minimum of three VMs with 8 GB RAM for the Kubernetes master and two workers. Additional VMs increase scale.
Do you have a sponsor user program? How can customers join?,Yes. There is a sponsor users program where customers can work with our design and development teams to help shape the product. It also provides participating customers with an inside an inside look into the product s evolution.
What deployment tools does UrbanCode Velocity integrate with?,You can use UrbanCode Velocity to manage your deployments from Jenkins or UrbanCode Deploy.
Can I use UrbanCode Deploy to automate the deployment of containers?,Yes. IBM UrbanCode  Deploy can manage containers.
Is UrbanCode Deploy available as a software-as-a-service offering?,"Yes. UrbanCode Deploy on Cloud is an SaaS solution with UrbanCode Deploy as its foundation. UrbanCode Deploy is a best-in-class application-release automation solution that makes deploying applications predictable, repeatable and auditable."
How does UrbanCode Deploy integrate with plug-ins?,"You can integrate IBM UrbanCode Deploy into your delivery pipeline and avoid restructuring your toolchain with over 130 plug-ins for development, testing, infrastructure and cloud   such as the Jenkins Pipeline and VMware vRealize Automation plug-ins."
How does UrbanCode Deploy handle complex application deployments?,"UrbanCode Deploy can enable you to create models of the deployment process with a graphical process editor, replacing manual steps and nonstandard scripts. No programming is required. You can create processes of any complexity, assign them to deployment environments and execute them more reliably."
"For provisioning cloud images and deploying applications, how does the IBM UrbanCode Blueprint Designer work?","You can deploy to any platform   mainframe, data center, cloud or virtualized environments   and deploy containers with control and visibility. Manage and participate in your deployment process from anywhere with the UrbanCode mobile iOS app. "
What safeguards are in UrbanCode Deploy that help ensure quality?,"You can store different configuration settings for each target and enable configuration-only or traditional code-and-configuration deployments, while reusing the same application process across multiple environments."
Does UrbanCode Deploy natively deploy applications to IBM z/OS ?,"Yes. A DevOps transformation includes enhancing z/OS for development practices. Mobile applications make hundreds of millions of IBM z Systems  back-end calls every day   for example, calls to COBOL and PL/1. The mainframe must be part of the modern development and operations practices."
"How do I discover, deploy and manage IBM WebSphere  Application Server configurations?","UrbanCode Deploy detects WebSphere Application Server automatically and creates corresponding resources on the server. You can import WebSphere Application Server cell and cluster configurations, and generate a template that is stored and promoted across environments."
"How do I know who deployed what, and where and when it was deployed?","UrbanCode Deploy provides a customizable permission system for your users and a more secure transport of your deployment artifacts. You can track user activity (who, what, where and when) with control and audit capabilities that build a full history of an application deployment."
What is the difference between the UrbanCode Velocity Standard and Community editions?,"The Community Edition is a free download that enables you to create release reports using data from UrbanCode Deploy. The Standard Edition is a paid product that enables you to do everything you can do with the Community Edition, plus more complex release management and pipeline deployment setup."
Is UrbanCode Velocity a deployment automation tool?,"No. UrbanCode Deploy provides deployment automation. UrbanCode Velocity provides coordination across continuous delivery pipelines from one or more tools, so it can coordinate across multiple Jenkins pipelines, UrbanCode Deploy applications, or both."
How is UrbanCode Velocity installed?,"UrbanCode Velocity has been containerized and provides a Helm chart for installation into a Kubernetes cluster, in addition to instructions for deploying as a Docker Compose application."
How does UrbanCode Velocity help improve team performance?,"UrbanCode Velocity provides reports showing the time required to get a new build into production. The reports highlight bottlenecks by identifying which environments the build spent time in, slowing delivery to production. This can help teams address those bottlenecks to speed delivery."
What information is provided by the audit reports?,"The audit reports include the name of the deployed application, the components deployed, the application version, the component versions, the process used for deployment, the target environment, the result, the requester, the approver and the timing data."
What is Kubernetes?,    Kubernetes is an open-source container management tool which holds the responsibilities of container deployment
How is Kubernetes related to Docker?,    It’s a known fact that Docker provides the lifecycle management of containers and a Docker image builds the runtime containers. But
What is Container Orchestration?,    Consider a scenario where you have 5-6 microservices for an application. Now
What is the need for Container Orchestration?,    Consider you have 5-6 microservices for a single application performing various tasks
How does Kubernetes simplify containerized Deployment?,    As a typical application would have a cluster of containers running across multiple hosts
What do you know about clusters in Kubernetes?,    The fundamental behind Kubernetes is that we can enforce the desired state management
What is Google Container Engine?,    Google Container Engine (GKE) is an open source management platform for Docker containers and the clusters. This Kubernetes based engine supports only those clusters which run within the Google’s public cloud services.
What is Heapster?,    Heapster is a cluster-wide aggregator of data provided by Kubelet running on each node. This container management tool is supported natively on Kubernetes cluster and runs as a pod
What is Minikube?,    Minikube is a tool that makes it easy to run Kubernetes locally. This runs a single-node Kubernetes cluster inside a virtual machine.
What is Kubectl?,    Kubectl is the platform using which you can pass commands to the cluster. So
What is Kubelet?,    This is an agent service which runs on each node and enables the slave to communicate with the master. So
What are the different components of Kubernetes Architecture?,    The Kubernetes Architecture has mainly 2 components – the master node and the worker node. As you can see in the below diagram
What do you understand by Kube-proxy?,    Kube-proxy can run on each and every node and can do simple TCP/UDP packet forwarding across backend network service. So basically
Can you brief on the working of the master node in Kubernetes?,    Kubernetes master controls the nodes and inside the nodes the containers are present. Now
What is the role of kube-apiserver and kube-scheduler?,    The kube – apiserver follows the scale-out architecture and
Can you brief about the Kubernetes controller manager?,    Multiple controller processes run on the master node but are compiled together to run as a single process which is the Kubernetes Controller Manager. So
What is ETCD?,    Etcd is written in Go programming language and is a distributed key-value store used for coordinating between distributed work. So
What do you understand by load balancer in Kubernetes?,    A load balancer is one of the most common and standard ways of exposing service. There are two types of load balancer used based on the working environment i.e. either the Internal Load Balancer or the External Load Balancer. The Internal Load Balancer automatically balances load and allocates the pods with the required configuration whereas the External Load Balancer directs the traffic from the external load to the backend pods.
What is Ingress network, and how does it work?
What do you understand by Cloud controller manager?,    The Cloud Controller Manager is responsible for persistent storage
What is Container resource monitoring?,    As for users
What is the difference between a replica set and replication controller?,    Replica Set and Replication Controller do almost the same thing. Both of them ensure that a specified number of pod replicas are running at any given time. The difference comes with the usage of selectors to replicate pods. Replica Set use Set-Based selectors while replication controllers use Equity-Based selectors.
What is a Headless Service?,    Headless Service is similar to that of a ‘Normal’ services but does not have a Cluster IP. This service enables you to directly reach the pods without the need of accessing it through a proxy.
What are federated clusters?,    Multiple Kubernetes clusters can be managed as a single cluster with the help of federated clusters. So
What are minions in Kubernetes cluster?,    They are the work-horse / worker node of the cluster.
Kubernetes cluster data is stored in which of the following?,    Etcd.
Which of them is a Kubernetes Controller?,    Both ReplicaSet and Deployment.
Fortify is not compatible if you migrate to version > 9 (and use the new feature). Any update about that(feature release?)?,The latest release of Fortify (19.1.0) supports JDK11.
Does Fortify expect for me to run a whitelist scan on the randomly created file name," Fortify likes to flag each, even smallest, possibility of manipulating inputs, redefining system properties may be one of them."
I'm getting the error stated MYSQL/JDBC issues Communication Link Failure (Fortify 19.1.0 SSC), try with IP address instead of localhost in your connection string 
How can I crawl application using proxy to IE or Firefox with step mode.,login macro with a manual/step mode scan as authentication should be captured during the recording of the manual scan.
My application does not allow concurrent logins. When I run a scan with WI I get error messages which i suspect is due to concurrent login attempts. Is there any way by which I enable WI to manage concurrent sessions in my application?,"A solution to this problem is to convert the recorded credentials in a login macro to parameters and use multiple login accounts with the same application privileges. You can use the Multi-user Login option in the Scan Settings: Authentication window to parameterize the username and password in a login macro, and define multiple username and password pairs to use in a scan. This approach allows the scan to run across multiple threads. Each thread has a different login session, resulting in faster scan times."
Is there a way to clear the SSC logs?,"execute the following query against the SSC database to delete entries older than 120 days: DELETE FROM eventlogentry WHERE eventDate < DATEADD(day, -120, GETDATE())"
"I have forgotten administrator SSC password, and the user has been blocked after 3 trials... how can I log in again into SSC? ","Please run this update on SSC database with correct admin  username . UPDATE fortifyuser SET requirePasswordChange='Y', failedLoginAttempts=0, dateFrozen=NULL, suspended='N', secPass='b0521d842e68c870af598b81aa8cd6d1728611b1e5568397e420b2d026172b74', salt='P7D4co4mI/4=' WHERE username='<admin_user>';"
" getting the error ""WebInspect is not a valid scan database.  Choose another database."" ",use WIConfig tool to initialize the database. This would create a database in your server by itself.
"I installed 19.1.0 today, and it doesn't seem like it successfully installed the VS 2017 plugin. I cant figure out how to modify the installation to remove and reinstall the plugin. Is that possible, without uninstalling and reinstalling all of Fortify? ","Looking at the Fortify Marketplace, I think the extension doesn't have a new version."
Unable to start hp webinspect trusted certificate web server,"After installing WebInspect, it is important to open the MSIE browser and accept the certificate/plugin prompted.  This adds a WebInspect certificate to the browser, for use later when using Web Proxy for a variety of recording tasks.  One of those tasks does happen to include the Native Mobile app scanning, where WebInspect essentially turns itself into an intercept proxy to capture the mobile application's activity."
Can Fortify Scan mobile apps made with Xamarin?,"Yes, you can. And on FoD you can use the Mobile+, that includes a manual review for your apps and a DAST scan for your backend."
Is it possible to view FPR results within Jenkins without uploading to SSC?,You must have a connection to SSC and upload the FPR to SSC in order to see the results in Jenkins
How to exclude files and folders when using Fortify with MSBuild,"""""exclude ""path/to/my/dir/**/*.class"" to exclude all class files under /dir for example. I believe this will be modified in the latest/upcoming version (so you would be able to do that) but for now you can not do -exclude ""path/to/**/my/dir"""""
SSC change mysql fortify user password,If you go under the .fortify/ssc/conf look for version.properties.  Change the setting maintenance.mode = false to true. Restart tomcat and see if that allows you back into maint mode.
how to sort reports in descending order?,This seems to be working: https://fortify.dell.com/ssc/api/v1/dataExports?limit=10&start=0&orderby=-exportDate
Does Agile work for distributed teams?,Absolutely. We have many customers who are very happy and successful with their distributed teams.
What is the right size for stories?,"Stories should be the right size for their purpose. If you are planning an iteration, you need to ensure your stories are small enough to be completed in an iteration."
Are Agile and DevOps same?,"No, agile is not same as DevOps. However, agile can be used as a part of DevOps."
Do I need Admin privileges to install TortoiseSVN?,"Yes, you need to have Admin privileges to install TortoiseSVN, or at least have the rights to install with Admin privileges."
Do I need to install Subversion before I can use TortoiseSVN?,No. TortoiseSVN comes with everything you need to access a repository. Only if you want to set up a server then you will need the Subversion package.
What is Fork a repo,A fork is a copy of a repository. Forking a repository allows you to freely experiment with changes without affecting the original project.
What are the Supported browsers for GitHub,"We design GitHub to support the latest web browsers. We support the current versions of Chrome, Firefox, Safari, and Microsoft Edge."
How to run ansible playbook?,    Type the command ansible-playbook playbook.yml.
What is ansible?,   Ansible is an Enterprise automation tool that can automate deployment
Is ansible a replacement for functional testing automation?,    No. However ansible can execute the test automation package as one of it's tasks during deployment.
What is the runtime for ansible?,    Ansible runs on its own runtime. There is no dependency with another runtime.
Does Ansible work for deployment of all application server types?,    Yes. Ansible can execute all the tasks related to application deployment and configuration of any application server. It is up to the user to define the tasks in accordance with what they want to achieve.
How can I set the PATH or any other environment variable for a task or entire playbook?,    Setting environment variables can be done with the environment keyword. It can be used at task or play level.
How do I handle different machines needing different user accounts or ports to log in with?,    Setting inventory variables in the inventory file is the easiest way.You may also wish to keep these in group variables instead
How do I get ansible to reuse connections, enable Kerberized SSH
How do I configure a jump host to access servers that I have no direct access to?,    With Ansible 2
How do I speed up management inside EC2?,    Don’t try to manage a fleet of EC2 machines from your laptop. Connect to a management node inside EC2 first and run Ansible from there.
How do I handle python pathing not having a Python 2.X in /usr/bin/python on a remote machine?,    While you can write ansible modules in any language
What is the best way to make content reusable/redistributable?,    If you have not done so already
Where does the configuration file live and what can I configure in it?,    See Configuration file at https://docs.ansible.com/ansible/2.3/intro_configuration.html.
